latitude,longitude,material_of_building,Type_of_furniture,square_meters,number_of_rooms,year_of_completion,floor,residential_complex,number_of_floors,type_of_building,smart_house,floor_heating,security,cost_in_dollars
49.87505,23.92568,brick house,none,84,3.0,2020.0,5.0,ЖК Соняшник,1.0,apartment,No,No,No,66500.0
49.87515,23.92578,monolithic frame,none,90,3.0,2020.0,1.0,ЖК Соняшник,1.0,apartment,No,No,No,70000.0
49.87525,23.92588,brick house,none,43.64,1.0,2024.0,5.0,ЖК Соняшник,1.0,apartment,No,No,No,38000.0
49.87505,23.92568,brick house,none,88,3.0,2021.0,7.0,ЖК Соняшник,1.0,apartment,No,No,No,61000.0
49.87506,23.92568,monolithic frame,none,65,2.0,2019.0,6.0,ЖК Соняшник,1.0,apartment,No,No,No,52000.0
49.87506,23.92568,monolithic frame,none,66,2.0,2019.0,7.0,ЖК Соняшник,1.0,apartment,No,No,No,52800.0
49.87506,23.92568,monolithic frame,none,74,2.0,2019.0,8.0,ЖК Соняшник,1.0,apartment,No,No,No,58000.0
49.87506,23.92568,monolithic frame,none,84.1,3.0,2019.0,5.0,ЖК Соняшник,1.0,apartment,No,No,No,66500.0
49.87506,23.92568,monolithic frame,none,55,1.0,2019.0,8.0,ЖК Соняшник,1.0,apartment,No,No,No,45000.0
49.87506,23.92568,monolithic frame,none,70,2.0,2019.0,9.0,ЖК Соняшник,1.0,apartment,No,No,No,68000.0
49.87506,23.92568,monolithic frame,none,68,2.0,2019.0,9.0,ЖК Соняшник,1.0,apartment,No,No,No,57000.0
49.87506,23.92568,monolithic frame,none,66,2.0,2019.0,6.0,ЖК Соняшник,1.0,apartment,No,No,No,52900.0
49.87506,23.92568,monolithic frame,none,90,3.0,2019.0,1.0,ЖК Соняшник,1.0,apartment,No,No,No,75000.0
49.87515,23.92578,monolithic frame,none,44,1.0,2019.0,3.0,ЖК Соняшник,1.0,apartment,No,No,No,36000.0
49.87515,23.92578,monolithic frame,none,44,1.0,2019.0,5.0,ЖК Соняшник,1.0,apartment,No,No,No,39960.0
49.87515,23.92578,monolithic frame,none,43,1.0,2019.0,2.0,ЖК Соняшник,1.0,apartment,No,No,No,35200.0
49.87504,23.92571,brick house,none,84,3.0,2019.0,5.0,ЖК Соняшник,1.0,apartment,No,No,No,66500.0
49.87505,23.92572,monolithic frame,none,90,3.0,2019.0,1.0,ЖК Соняшник,1.0,apartment,No,No,No,70000.0
49.87505,23.92572,monolithic frame,none,65,2.0,2019.0,6.0,ЖК Соняшник,1.0,apartment,No,No,No,52000.0
